category,count
academic pressure,1
addictive behaviors (e.g., drug use, gambling),1
breakups or divorce,1
career development issues,1
conflicts or communication problems,1
culture shock,1
debt problems,1
emotional fluctuations,1
financial problems,1
goal setting issues,1
grief and loss,2
identity crises,1
internet addiction,1
issues with children,1
issues with parents,1
job crisis,1
life transitions (e.g., retirement, relocation),1
marital problems,1
obsessive-compulsive disorder (ocd),1
other,0
problems with friends,1
procrastination,1
school bullying,2
self-esteem issues,3
self-harm behaviors,1
sexual assault or domestic violence recovery,1
sleep problems,1
