category,count
self-esteem issues,138
financial problems,138
post-traumatic stress disorder (ptsd),138
emotional fluctuations,138
appearance anxiety,138
obsessive-compulsive disorder (ocd),138
anger management issues,138
chronic stress,138
sleep problems,138
issues with parents,138
sexual assault or domestic violence recovery,138
alcohol abuse,138
debt problems,138
bipolar disorder,138
anxiety disorders,138
compulsive behaviors,138
motivation problems,138
problems with friends,138
burnout,138
schizophrenia,138
addictive behaviors (e.g., drug use, gambling),138
marital problems,138
breakups or divorce,138
culture shock,138
issues with children,138
ongoing depression,138
conflicts or communication problems,138
personal growth challenges,138
grief and loss,138
health problems,138
life transitions (e.g., retirement, relocation),138
death of a loved one,138
spirituality and faith,138
workplace stress,125
goal setting issues,124
job crisis,118
procrastination,116
school bullying,69
academic pressure,69
sexual orientation,69
self-harm behaviors,69
internet addiction,69
identity crises,69
eating disorders,69
career development issues,69
