city,country,decade,metadata
New York City,USA,1920s,"1920s: New York City felt interwar modernization, mass culture, and uneven prosperity alongside suburban expansion and consumer culture; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and volunteerism and individual achievement."
New York City,USA,1930s,"1930s: New York City felt economic depression, political radicalization, and pre‑war mobilization alongside suburban expansion and consumer culture; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and volunteerism and individual achievement."
New York City,USA,1940s,"1940s: New York City felt world war, decolonization beginnings, and post‑war reconstruction alongside suburban expansion and consumer culture; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and volunteerism and individual achievement."
New York City,USA,1950s,"1950s: New York City felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside suburban expansion and consumer culture; locals commonly emphasized respectability, conformity in public life, and steady work ethic and volunteerism and individual achievement."
New York City,USA,1960s,"1960s: New York City felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside suburban expansion and consumer culture; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and volunteerism and individual achievement."
New York City,USA,1970s,"1970s: New York City felt oil shocks, stagflation or state expansion, and social realignment alongside suburban expansion and consumer culture; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and volunteerism and individual achievement."
New York City,USA,1980s,"1980s: New York City felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside suburban expansion and consumer culture; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and volunteerism and individual achievement."
New York City,USA,1990s,"1990s: New York City felt post‑Cold‑War reordering, globalization, and early internet adoption alongside suburban expansion and consumer culture; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and volunteerism and individual achievement."
New York City,USA,2000s,2000s: Dot‑com whiplash and post‑9/11 recovery forged grit and civic solidarity; cosmopolitan hustle stayed central.
New York City,USA,2010s,"2010s: New York City felt smartphone/social media dominance, populist swings, and widening inequality alongside suburban expansion and consumer culture; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and volunteerism and individual achievement."
New York City,USA,2020s,"2020s: Pandemic years reshaped New York City; Lockdowns varied by region; remote work surged, polarization around mandates rose, and mutual‑aid groups blossomed."
Los Angeles,USA,1920s,"1920s: Los Angeles felt interwar modernization, mass culture, and uneven prosperity alongside suburban expansion and consumer culture; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and volunteerism and individual achievement."
Los Angeles,USA,1930s,"1930s: Los Angeles felt economic depression, political radicalization, and pre‑war mobilization alongside suburban expansion and consumer culture; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and volunteerism and individual achievement."
Los Angeles,USA,1940s,"1940s: Los Angeles felt world war, decolonization beginnings, and post‑war reconstruction alongside suburban expansion and consumer culture; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and volunteerism and individual achievement."
Los Angeles,USA,1950s,"1950s: Los Angeles felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside suburban expansion and consumer culture; locals commonly emphasized respectability, conformity in public life, and steady work ethic and volunteerism and individual achievement."
Los Angeles,USA,1960s,"1960s: Los Angeles felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside suburban expansion and consumer culture; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and volunteerism and individual achievement."
Los Angeles,USA,1970s,"1970s: Los Angeles felt oil shocks, stagflation or state expansion, and social realignment alongside suburban expansion and consumer culture; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and volunteerism and individual achievement."
Los Angeles,USA,1980s,"1980s: Los Angeles felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside suburban expansion and consumer culture; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and volunteerism and individual achievement."
Los Angeles,USA,1990s,"1990s: Los Angeles felt post‑Cold‑War reordering, globalization, and early internet adoption alongside suburban expansion and consumer culture; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and volunteerism and individual achievement."
Los Angeles,USA,2000s,"2000s: Los Angeles felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside suburban expansion and consumer culture; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and volunteerism and individual achievement."
